filename,filepath,fold,target,src_file,take,zero_crossing_rate,zero_crossings,spectrogram,mel_spectrogram,harmonics,perceptual_shock_wave,spectral_centroids,spectral_centroids_delta,spectral_centroids_accelerate,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,tempo_bpm,spectral_rolloff,spectral_flux,spectral_bandwidth_2,spectral_bandwidth_3,spectral_bandwidth_4,mfcc0,mfcc_delta_0,mfcc_accelerate_0,mfcc1,mfcc_delta_1,mfcc_accelerate_1,mfcc2,mfcc_delta_2,mfcc_accelerate_2,mfcc3,mfcc_delta_3,mfcc_accelerate_3,mfcc4,mfcc_delta_4,mfcc_accelerate_4,mfcc5,mfcc_delta_5,mfcc_accelerate_5,mfcc6,mfcc_delta_6,mfcc_accelerate_6,mfcc7,mfcc_delta_7,mfcc_accelerate_7,mfcc8,mfcc_delta_8,mfcc_accelerate_8,mfcc9,mfcc_delta_9,mfcc_accelerate_9,mfcc10,mfcc_delta_10,mfcc_accelerate_10,mfcc11,mfcc_delta_11,mfcc_accelerate_11,mfcc12,mfcc_delta_12,mfcc_accelerate_12,mfcc13,mfcc_delta_13,mfcc_accelerate_13,mfcc14,mfcc_delta_14,mfcc_accelerate_14,mfcc15,mfcc_delta_15,mfcc_accelerate_15,mfcc16,mfcc_delta_16,mfcc_accelerate_16,mfcc17,mfcc_delta_17,mfcc_accelerate_17,mfcc18,mfcc_delta_18,mfcc_accelerate_18,mfcc19,mfcc_delta_19,mfcc_accelerate_19
1-100032-A-0,/home/tarcidio/analysis-ESC50/audios/audio1/1-100032-A-0.wav,1,0,100032,A,0.13435444078947367,1322,-78.52224,-80.0,-4.891048e-08,-1.7372394e-06,2138.0330105058183,36.53297526816258,34.3414836111672,0.4383437,0.54387355,0.4402716,0.21503253,0.15154006,0.21541415,0.1940097,0.28995934,0.7495998,0.7767841,0.27540287,0.2560899,117.45383522727273,3178.4141138980262,2.8491282,1760.6977945704891,2457.6875212842333,3077.391507976574,-311.448,-10.117429,-15.909431,55.885204,-2.0532959,-3.3878567,-99.209984,2.0747082,4.9582424,-46.12039,1.059289,2.1366806,-11.786629,1.401152,0.48953,-19.977497,1.8291013,1.4334575,-5.779126,0.6509424,0.27093777,11.781259,0.5562146,-0.85020024,6.977869,0.10308336,-0.8298687,7.3323483,-0.26593867,-0.91794926,-7.693216,-0.29345396,0.28056523,-0.5754367,-0.008653104,0.21891282,-11.957518,1.0403044,0.7765171,7.3393416,-0.653485,-0.08266035,-2.9602578,-0.3509252,0.2115717,-1.8188627,-0.49397856,0.08787292,-14.572002,0.26522246,0.56772274,0.7899534,-0.029014079,0.0867904,-3.2047482,0.39878404,0.020585615,7.05269,-0.18109068,-0.15773423
1-100210-A-36,/home/tarcidio/analysis-ESC50/audios/audio1/1-100210-A-36.wav,1,36,100210,A,0.3853782371238426,42738,-25.714584,-25.32025,0.0002313211,0.00024445323,3364.486695598882,9.050631017300772,-3.0928006165578172,0.1593427,0.2539621,0.32514268,0.8617738,0.17278111,0.09010072,0.09828773,0.10283125,0.098473355,0.106799126,0.106458955,0.13252746,135.99917763157896,6267.3583984375,0.94570047,2687.3315459670275,3032.185655491386,3340.1362599754216,12.35973,0.5152688,-0.055234212,62.431587,-0.33467653,0.14400628,-14.457328,-0.021310551,0.03759954,20.597574,-0.039541192,-0.077395685,-18.34207,0.0022177564,-0.020263247,17.531578,0.0060564918,-0.049663953,-3.1397734,0.032761604,0.03362085,11.895612,0.08036532,-0.04066326,0.27427277,0.0919763,-0.09296144,-1.0742726,-0.0517183,0.015335651,-6.7368736,0.08640824,0.035588652,19.63363,0.018739128,-0.060984824,-3.5462704,0.06590667,0.04188183,28.449461,0.050483342,-0.032215696,-13.570659,-0.02885132,0.007900549,11.71307,-0.057226844,0.007965199,-2.816873,-0.018413497,0.008886248,7.117002,-0.015632547,-0.005870861,0.8402533,-0.02802998,-0.0196112,4.870029,0.004381235,-0.01906414
1-100210-B-36,/home/tarcidio/analysis-ESC50/audios/audio1/1-100210-B-36.wav,1,36,100210,B,0.3868408203125,42944,-23.04971,-19.584213,0.00032243587,5.6747016e-05,3422.382639364867,1.1025253181726606,0.6013008843288977,0.14419538,0.21284598,0.27005887,0.4755039,0.8412228,0.1271024,0.11798106,0.12108713,0.12992853,0.13000806,0.12549856,0.1320054,89.10290948275862,6461.456298828125,0.8929141,2751.9771047703566,3090.7212104002556,3392.625966158436,13.786262,-0.35672906,-0.07016471,60.495434,-0.019276144,-0.009144229,-12.79485,-0.084347196,0.018867055,19.245605,-0.018511133,-0.014054965,-15.040389,-0.027912965,-0.001854136,18.135658,-0.04122577,-0.009201508,-2.1219702,-0.049500134,0.011548139,10.440136,-0.0057864785,-0.0033568265,-0.8874708,-0.09236837,-0.00936836,-0.47547022,-0.007916842,-0.01789315,-4.4459753,0.0030117575,0.016780695,18.834217,-0.06909424,-0.0078351535,-3.2059736,-0.019579645,-0.02947215,27.602684,-0.031026889,-0.0013248721,-12.762237,-0.0026239688,0.042971525,11.530251,-0.017031983,0.028197419,-2.1515858,-0.05632947,-0.005204531,8.21557,0.070437625,0.0044446965,1.6188929,-0.014075397,0.010149102,4.714815,0.04326401,-0.018125629
1-101296-A-19,/home/tarcidio/analysis-ESC50/audios/audio1/1-101296-A-19.wav,1,19,101296,A,0.04588035300925926,5115,-57.107944,-77.834946,-2.122326e-07,-3.0331157e-06,1421.4541032333927,-1.174613027360281,1.7407428315988667,0.5927503,0.38559058,0.22460309,0.23259476,0.35140616,0.46002516,0.42851257,0.40640378,0.55964386,0.7011027,0.6028779,0.62899965,89.10290948275862,3339.3412272135415,0.9279761,2143.8956442015074,2827.7826337891956,3433.381629728617,-424.99725,0.027099097,-0.067899965,127.64408,0.026158307,-0.035090163,36.058125,0.03385765,-0.0275504,37.723938,0.026393905,-0.023448119,-5.137494,0.0009851786,-0.019473823,11.06883,-0.016075773,-0.011455552,-15.10142,-0.031598054,-0.017391225,6.8456593,0.014197334,0.011975204,-3.792943,-0.060686827,0.020692458,-6.7621913,-0.025238287,0.020446861,-13.565428,0.010743038,0.0102538755,4.434554,-0.03435755,0.0151112275,-15.572583,0.024722192,0.014628924,2.263079,0.0075730705,0.0018960568,-9.33068,-0.010635286,0.006472322,-0.7708556,0.0041011903,0.0046139183,-3.8961508,-0.02590047,0.0260265,-2.4395416,-0.016388727,0.012996633,-12.99237,0.016254256,-0.004993666,0.8876987,0.0053884606,-0.005186262
1-101336-A-30,/home/tarcidio/analysis-ESC50/audios/audio1/1-101336-A-30.wav,1,30,101336,A,0.021374606346899225,1416,-32.17018,-68.85421,-0.0015890847,-0.0015104861,866.2008178524006,6.043815467297208,8.269359096337194,0.6062929,0.92001635,0.8240013,0.5626503,0.35872507,0.27132538,0.27681214,0.31941548,0.27334216,0.2762701,0.42631316,0.53460896,161.4990234375,1642.0319313226744,2.2763312,1352.8301286440255,2045.2298666942863,2708.043398947935,-329.23743,-1.7619475,-1.5279914,176.42816,-0.7807165,-0.68275535,23.926785,0.076084375,0.041214883,32.004707,-0.05685954,-0.07237959,10.196256,0.11029011,-0.05201243,-5.7379403,0.18405108,-0.07305244,-0.30860204,0.25169155,0.00831485,11.388316,0.16370478,-0.012616805,1.9666265,-0.04364406,-0.07330608,-3.6413128,-0.06344021,-0.008994704,-2.6876404,0.15921459,0.1652471,0.60384053,0.021743922,0.032561954,-4.023326,-0.020976288,0.0330995,-1.5824687,0.0423253,0.06929074,-1.1074901,0.0069815833,0.040878702,-2.8043487,-0.012824181,0.06210163,-6.8838444,0.041439444,0.112978205,-4.290179,-0.09518059,-0.031928774,-3.3326445,0.042870454,0.040431194,-1.6131194,0.0011302556,-0.031229278
1-103298-A-9,/home/tarcidio/analysis-ESC50/audios/audio1/1-103298-A-9.wav,1,9,103298,A,0.07104040075231481,7890,-20.434181,-26.992794,-0.00026659918,1.3035954e-05,2057.2266758469286,8.871688665581356,0.41288545183278136,0.5457329,0.54211,0.61353594,0.6332105,0.67827934,0.63034827,0.61497,0.62864214,0.6293012,0.56675553,0.5972665,0.56311935,95.703125,5083.730061848958,1.182982,2498.6482334960806,3023.3764896015196,3504.2613751104345,-121.892975,0.097765744,-0.09536534,93.11542,-0.31078643,0.023618596,0.79650086,-0.08640231,0.032178875,23.641956,-0.06996554,0.0059179994,5.3824635,-0.046125393,-0.0346113,43.518265,0.040149998,-0.011075477,2.6298501,-0.077895686,0.002502149,14.920873,0.06789533,0.012650993,-3.793812,-0.030061554,0.0063363006,18.223148,0.023278901,0.00071226223,1.2207466,0.03473906,-0.0036031825,9.321141,-0.006687791,-0.00833897,1.1257766,0.047822375,0.022316054,6.325577,0.044644684,-0.007564178,-5.202954,-0.0007399343,0.017108724,7.256711,0.06619983,-0.0036642137,-5.3420672,-0.009469125,-0.0021236571,8.14351,-0.04551224,-0.008143014,-3.10006,-0.016961236,-0.023149244,6.715533,0.0043948106,0.0051692943
1-115545-A-48,/home/tarcidio/analysis-ESC50/audios/audio1/1-115545-A-48.wav,1,48,115545,A,0.06758174189814815,7498,-35.799397,-61.331814,-5.484571e-06,-9.336214e-06,1285.3733389330414,-0.5611202228465112,0.24033132123396758,0.66080207,0.56478655,0.58290493,0.6241628,0.6252463,0.6700257,0.64360535,0.62270725,0.6074552,0.5684674,0.6039688,0.6437782,99.38401442307692,2211.888631184896,0.89967436,1635.4747514146688,2326.685936849059,2965.0633629522604,-479.16302,-1.7557175,0.046855737,157.92099,-0.0321754,-0.03357199,-12.659026,0.24305823,0.03255516,13.831434,-0.09956872,-0.007393133,-3.6921585,0.05689971,0.010813073,4.4217815,-0.011371701,-0.018175032,-4.7283344,0.06642176,-0.0032192955,4.960986,0.028618107,-0.022953339,-3.7343702,0.08825747,-0.015960705,2.9220045,0.004709007,-0.023838941,-1.2218778,0.014888668,-0.002450796,4.0624733,-0.054912653,0.000512622,-0.98411614,0.018459825,0.012853879,4.049242,-0.016342955,0.008167345,-2.481183,0.060441565,0.018355208,0.43827847,-0.005810815,-0.020336377,-2.752611,0.04885049,-0.037474703,0.5378582,0.021787154,-0.020488333,-2.178094,0.058450818,0.015990324,2.5311263,0.009331112,-0.006929382
1-115545-C-48,/home/tarcidio/analysis-ESC50/audios/audio1/1-115545-C-48.wav,1,48,115545,C,0.04939552589699074,5482,-41.337578,-73.27382,-8.146313e-06,-1.0096035e-05,956.8703630078942,0.6653612700194048,0.04731260651692879,0.68746173,0.60673535,0.6702956,0.72277933,0.71341276,0.72635496,0.66668206,0.59153,0.55351615,0.5436199,0.5744627,0.6545892,107.666015625,1651.1281331380208,0.8964256,1271.811812495129,1962.1138820074248,2642.19180301371,-446.8668,0.1789291,-0.030560909,150.80779,0.097412996,-0.03673595,5.3596888,-0.12214118,-0.0157365,-8.318195,-0.11180176,0.010633235,6.8083243,-0.0012346661,0.018323325,7.0717998,-0.0032154012,0.0011092159,-1.9519992,-0.04985495,-0.014712844,0.77937883,-0.03706247,-0.008580097,1.6934751,-0.022670053,0.0052590813,0.369741,-0.034348674,0.006999581,0.40081427,-0.016681591,0.0047095744,4.627772,0.010629936,0.01459346,3.1773684,-0.006570207,0.028574292,0.69954926,-0.03505381,0.028232684,-1.5178756,-0.03249124,0.016742527,-0.52234703,-0.019398488,0.009771336,-0.29221767,-0.005555313,0.0050835037,1.3919939,0.018244967,-0.0088712135,1.0633515,0.025485417,-0.02173573,1.799423,0.0011251679,-0.0138420975
1-115920-A-22,/home/tarcidio/analysis-ESC50/audios/audio1/1-115920-A-22.wav,1,22,115920,A,0.14761917679398148,16369,-23.651262,-51.541973,-6.4902124e-05,-5.444693e-06,2630.1569105087146,7.674852992106417,-0.4234670166255701,0.7669891,0.6611794,0.63519615,0.6341249,0.60792595,0.59548795,0.58933884,0.6138524,0.6545797,0.6647292,0.71245086,0.7561203,75.99954044117646,4988.924153645833,2.072592,2294.7246488763817,2848.7636209398447,3340.229375092482,-297.4469,2.086732,0.10138664,64.84235,-0.101287454,0.055554297,-65.31905,-0.5784409,-0.10115362,-13.922685,-0.21060188,-0.005314244,-3.0766146,-0.111400954,0.029138971,2.0995085,-0.09897999,-0.0010970831,-9.750878,-0.16135699,-0.0132783875,9.158064,-0.014259295,-0.0057032923,-0.25216386,-0.11000229,-0.00818177,8.664031,-0.048699733,-0.0060872324,-7.4961157,-0.055058055,0.02276348,9.599517,0.020345869,-0.0026135931,-4.6057487,-0.059376933,-0.0015272067,6.2767906,-0.0059369006,-0.0031783625,-4.882666,-0.067002475,-0.036991294,6.7104573,0.034090813,-0.023988314,-3.9299164,-0.04809754,-0.00525639,7.4833655,0.05763596,-0.021811055,-4.222748,-0.034089047,-0.023055894,7.1093884,0.052123733,0.0068796654
1-115921-A-22,/home/tarcidio/analysis-ESC50/audios/audio1/1-115921-A-22.wav,1,22,115921,A,0.1285694263599537,14284,-26.13826,-41.27145,-7.10372e-05,-4.200286e-08,2367.3283116667803,1.9348206069781813,-0.3697469927332975,0.69038194,0.6124013,0.57524365,0.5501336,0.539098,0.49981636,0.44062725,0.49071422,0.560152,0.64925313,0.6926606,0.65354353,117.45383522727273,4075.208536783854,1.6812297,2119.0119154996023,2748.1276564156396,3303.336645298436,-275.01974,0.8262761,0.0018968052,82.69403,-0.06725741,0.044991184,-72.86836,-0.03159338,0.010151373,-16.20944,-0.08069624,0.0021846737,-2.8387158,0.037546698,0.008164878,-4.3036146,-0.0795909,-0.014789577,-10.736896,-0.017450642,-0.012165313,10.840739,-0.013775892,0.0067791897,3.104932,-0.031432923,-0.02209289,6.1948514,0.046244998,-0.0056354757,-7.821939,0.01487553,0.02512987,9.710436,-0.103336565,-0.016640153,-6.7866964,-0.02401876,-0.023358021,4.993997,0.023048533,-0.025344322,-6.748554,-0.06888115,-0.005549848,8.133049,-0.041336466,-0.012721657,-3.5707471,-0.019915514,0.002732574,8.410487,-0.016408788,0.0018040803,-3.9414768,-0.0057712696,-0.027119199,6.0295196,0.026862962,-0.024918921
